target entry name	locus type
WeinellEntry3752	short exon fragment
WeinellEntry3753	short exon fragment
WeinellEntry3754	short exon fragment
WeinellEntry3755	short exon fragment
WeinellEntry3756	short exon fragment
WeinellEntry3757	short exon fragment
WeinellEntry3758	short exon fragment
WeinellEntry3760	short exon fragment
WeinellEntry3761	short exon fragment
WeinellEntry3762	short exon fragment
WeinellEntry3763	short exon fragment
WeinellEntry3764	short exon fragment
WeinellEntry3765	short exon fragment
WeinellEntry3766	short exon fragment
WeinellEntry3767	short exon fragment
WeinellEntry3768	short exon fragment
WeinellEntry3769	short exon fragment
WeinellEntry3770	short exon fragment
WeinellEntry3771	short exon fragment
WeinellEntry3772	short exon fragment
WeinellEntry3773	short exon fragment
WeinellEntry3774	short exon fragment
WeinellEntry3776	short exon fragment
WeinellEntry3777	short exon fragment
WeinellEntry3778	short exon fragment
WeinellEntry3779	short exon fragment
WeinellEntry3780	short exon fragment
WeinellEntry3781	short exon fragment
WeinellEntry3782	short exon fragment
WeinellEntry3783	short exon fragment
WeinellEntry3784	short exon fragment
WeinellEntry3785	short exon fragment
WeinellEntry3786	short exon fragment
WeinellEntry3787	short exon fragment
WeinellEntry3788	short exon fragment
WeinellEntry3789	short exon fragment
WeinellEntry3790	short exon fragment
WeinellEntry3791	short exon fragment
WeinellEntry3792	short exon fragment
WeinellEntry3793	short exon fragment
WeinellEntry3795	short exon fragment
WeinellEntry3796	short exon fragment
WeinellEntry3797	short exon fragment
WeinellEntry3798	short exon fragment
WeinellEntry3799	short exon fragment
WeinellEntry3800	short exon fragment
WeinellEntry3801	short exon fragment
WeinellEntry3802	short exon fragment
WeinellEntry3803	short exon fragment
WeinellEntry3804	short exon fragment
WeinellEntry3805	short exon fragment
WeinellEntry3806	short exon fragment
WeinellEntry3807	short exon fragment
WeinellEntry3808	short exon fragment
WeinellEntry3809	short exon fragment
WeinellEntry3810	short exon fragment
WeinellEntry3811	short exon fragment
WeinellEntry3812	short exon fragment
WeinellEntry3813	short exon fragment
WeinellEntry3814	short exon fragment
WeinellEntry3815	short exon fragment
WeinellEntry3816	short exon fragment
WeinellEntry3817	short exon fragment
WeinellEntry3818	short exon fragment
WeinellEntry3819	short exon fragment
