target entry name	locus type
WeinellEntry2507	UCE
WeinellEntry2508	UCE
WeinellEntry2509	UCE
WeinellEntry2510	UCE
WeinellEntry2511	UCE
WeinellEntry2512	UCE
WeinellEntry2513	UCE
WeinellEntry2514	UCE
WeinellEntry2515	UCE
WeinellEntry2516	UCE
WeinellEntry2517	UCE
WeinellEntry2518	UCE
WeinellEntry2519	UCE
WeinellEntry2520	UCE
WeinellEntry2521	UCE
WeinellEntry2522	UCE
WeinellEntry2523	UCE
WeinellEntry2524	UCE
WeinellEntry2525	UCE
WeinellEntry2526	UCE
WeinellEntry2527	UCE
WeinellEntry2528	UCE
WeinellEntry2529	UCE
WeinellEntry2530	UCE
WeinellEntry2531	UCE
WeinellEntry2532	UCE
WeinellEntry2533	UCE
WeinellEntry2534	UCE
WeinellEntry2535	UCE
WeinellEntry2536	UCE
WeinellEntry2537	UCE
WeinellEntry2538	UCE
WeinellEntry2539	UCE
WeinellEntry2540	UCE
WeinellEntry2541	UCE
WeinellEntry2542	UCE
WeinellEntry2543	UCE
WeinellEntry2544	UCE
WeinellEntry2545	UCE
WeinellEntry2546	UCE
WeinellEntry2547	UCE
WeinellEntry2548	UCE
WeinellEntry2549	UCE
WeinellEntry2550	UCE
WeinellEntry2551	UCE
WeinellEntry2552	UCE
WeinellEntry2553	UCE
WeinellEntry2554	UCE
WeinellEntry2555	UCE
WeinellEntry2556	UCE
WeinellEntry2557	UCE
WeinellEntry2558	UCE
WeinellEntry2559	UCE
WeinellEntry2560	UCE
WeinellEntry2561	UCE
WeinellEntry2562	UCE
WeinellEntry2563	UCE
WeinellEntry2564	UCE
WeinellEntry2565	UCE
WeinellEntry2566	UCE
WeinellEntry2567	UCE
WeinellEntry2568	UCE
WeinellEntry2569	UCE
WeinellEntry2570	UCE
WeinellEntry2571	UCE
WeinellEntry2572	UCE
WeinellEntry2573	UCE
WeinellEntry2574	UCE
WeinellEntry2575	UCE
WeinellEntry2576	UCE
WeinellEntry2577	UCE
WeinellEntry2578	UCE
WeinellEntry2579	UCE
WeinellEntry2580	UCE
WeinellEntry2581	UCE
WeinellEntry2582	UCE
WeinellEntry2583	UCE
WeinellEntry2584	UCE
WeinellEntry2585	UCE
WeinellEntry2586	UCE
WeinellEntry2587	UCE
WeinellEntry2588	UCE
WeinellEntry2589	UCE
WeinellEntry2590	UCE
WeinellEntry2591	UCE
WeinellEntry2592	UCE
WeinellEntry2593	UCE
WeinellEntry2594	UCE
WeinellEntry2595	UCE
WeinellEntry2596	UCE
WeinellEntry2597	UCE
WeinellEntry2598	UCE
WeinellEntry2599	UCE
WeinellEntry2600	UCE
WeinellEntry2601	UCE
WeinellEntry2602	UCE
WeinellEntry2603	UCE
WeinellEntry2604	UCE
WeinellEntry2605	UCE
WeinellEntry2606	UCE
WeinellEntry2607	UCE
WeinellEntry2608	UCE
