"ScaffoldName"	"RefSeq.ScaffoldAccession"
"Thamnophis_sirtalis_GCF_001077635.1_read195"	"NW_013657874.1"
"Thamnophis_sirtalis_GCF_001077635.1_read196"	"NW_013657875.1"
"Thamnophis_sirtalis_GCF_001077635.1_read197"	"NW_013657876.1"
"Thamnophis_sirtalis_GCF_001077635.1_read198"	"NW_013657877.1"
"Thamnophis_sirtalis_GCF_001077635.1_read199"	"NW_013657878.1"
"Thamnophis_sirtalis_GCF_001077635.1_read200"	"NW_013657879.1"
"Thamnophis_sirtalis_GCF_001077635.1_read201"	"NW_013657880.1"
"Thamnophis_sirtalis_GCF_001077635.1_read202"	"NW_013657881.1"
"Thamnophis_sirtalis_GCF_001077635.1_read203"	"NW_013657882.1"
"Thamnophis_sirtalis_GCF_001077635.1_read204"	"NW_013657883.1"
"Thamnophis_sirtalis_GCF_001077635.1_read205"	"NW_013657884.1"
"Thamnophis_sirtalis_GCF_001077635.1_read206"	"NW_013657885.1"
"Thamnophis_sirtalis_GCF_001077635.1_read207"	"NW_013657886.1"
"Thamnophis_sirtalis_GCF_001077635.1_read208"	"NW_013657887.1"
"Thamnophis_sirtalis_GCF_001077635.1_read209"	"NW_013657888.1"
"Thamnophis_sirtalis_GCF_001077635.1_read210"	"NW_013657889.1"
"Thamnophis_sirtalis_GCF_001077635.1_read211"	"NW_013657890.1"
"Thamnophis_sirtalis_GCF_001077635.1_read212"	"NW_013657891.1"
"Thamnophis_sirtalis_GCF_001077635.1_read213"	"NW_013657892.1"
"Thamnophis_sirtalis_GCF_001077635.1_read214"	"NW_013657893.1"
"Thamnophis_sirtalis_GCF_001077635.1_read215"	"NW_013657894.1"
"Thamnophis_sirtalis_GCF_001077635.1_read216"	"NW_013657895.1"
"Thamnophis_sirtalis_GCF_001077635.1_read217"	"NW_013657896.1"
"Thamnophis_sirtalis_GCF_001077635.1_read218"	"NW_013657897.1"
"Thamnophis_sirtalis_GCF_001077635.1_read219"	"NW_013657898.1"
"Thamnophis_sirtalis_GCF_001077635.1_read220"	"NW_013657899.1"
"Thamnophis_sirtalis_GCF_001077635.1_read221"	"NW_013657900.1"
"Thamnophis_sirtalis_GCF_001077635.1_read222"	"NW_013657901.1"
"Thamnophis_sirtalis_GCF_001077635.1_read223"	"NW_013657902.1"
"Thamnophis_sirtalis_GCF_001077635.1_read224"	"NW_013657903.1"
"Thamnophis_sirtalis_GCF_001077635.1_read225"	"NW_013657904.1"
"Thamnophis_sirtalis_GCF_001077635.1_read226"	"NW_013657905.1"
"Thamnophis_sirtalis_GCF_001077635.1_read227"	"NW_013657906.1"
"Thamnophis_sirtalis_GCF_001077635.1_read228"	"NW_013657907.1"
"Thamnophis_sirtalis_GCF_001077635.1_read229"	"NW_013657908.1"
"Thamnophis_sirtalis_GCF_001077635.1_read230"	"NW_013657909.1"
"Thamnophis_sirtalis_GCF_001077635.1_read231"	"NW_013657910.1"
"Thamnophis_sirtalis_GCF_001077635.1_read232"	"NW_013657911.1"
"Thamnophis_sirtalis_GCF_001077635.1_read233"	"NW_013657912.1"
"Thamnophis_sirtalis_GCF_001077635.1_read234"	"NW_013657913.1"
"Thamnophis_sirtalis_GCF_001077635.1_read235"	"NW_013657914.1"
"Thamnophis_sirtalis_GCF_001077635.1_read236"	"NW_013657915.1"
"Thamnophis_sirtalis_GCF_001077635.1_read237"	"NW_013657916.1"
"Thamnophis_sirtalis_GCF_001077635.1_read238"	"NW_013657917.1"
"Thamnophis_sirtalis_GCF_001077635.1_read239"	"NW_013657918.1"
"Thamnophis_sirtalis_GCF_001077635.1_read240"	"NW_013657919.1"
"Thamnophis_sirtalis_GCF_001077635.1_read241"	"NW_013657920.1"
