seqsPerLocus samplesPerLocus
supergroup26868 2 2
supergroup26869 2 2
supergroup26870 2 2
supergroup26871 2 2
supergroup26872 2 2
supergroup26873 2 2
supergroup26874 2 2
supergroup26875 2 2
supergroup26876 2 2
supergroup26877 2 2
supergroup26878 2 2
supergroup26879 2 2
supergroup26880 2 2
supergroup26881 3 3
supergroup26882 2 2
supergroup26883 2 2
supergroup26884 3 3
supergroup26885 2 2
supergroup26886 2 2
supergroup26887 2 2
supergroup26888 2 2
supergroup26889 2 2
supergroup26890 2 2
supergroup26891 7 7
supergroup26892 2 2
supergroup26893 2 2
supergroup26894 2 2
supergroup26895 2 2
supergroup26896 2 2
supergroup26897 2 2
supergroup26898 3 3
supergroup26899 4 4
supergroup26900 3 3
supergroup26901 7 7
supergroup26903 2 2
supergroup26904 3 3
supergroup26905 3 3
supergroup26906 13 12
supergroup26907 4 4
supergroup26908 3 3
supergroup26909 26 26
supergroup26910 18 17
supergroup26911 2 2
supergroup26912 5 4
supergroup26913 4 4
supergroup26914 2 2
supergroup26915 3 3
supergroup26916 2 2
supergroup26917 2 2
supergroup26918 11 6
supergroup26920 2 2
supergroup26921 2 2
supergroup26922 4 4
supergroup26923 2 2
supergroup26924 3 3
supergroup26925 2 2
supergroup26926 2 2
supergroup26927 4 4
supergroup26928 2 2
supergroup26929 2 2
supergroup26930 2 2
supergroup26931 3 3
supergroup26932 2 2
supergroup26933 4 4
supergroup26935 3 3
supergroup26936 5 5
supergroup26937 13 12
supergroup26939 12 11
supergroup26940 2 2
supergroup26941 3 3
supergroup26942 2 2
supergroup26943 2 2
supergroup26944 9 9
supergroup26945 2 2
supergroup26946 2 2
supergroup26947 16 16
supergroup26948 3 3
supergroup26949 8 8
supergroup26950 3 3
supergroup26952 2 2
supergroup26953 3 3
supergroup26954 5 3
supergroup26955 4 4
supergroup26956 8 8
supergroup26957 9 9
supergroup26958 2 2
supergroup26959 2 2
supergroup26960 5 5
supergroup26961 7 7
supergroup26962 2 2
supergroup26963 3 3
supergroup26964 5 5
supergroup26965 2 2
supergroup26966 3 3
supergroup26967 17 17
supergroup26968 29 29
supergroup26969 15 15
supergroup26970 2 2
supergroup26971 3 3
supergroup26972 2 2
supergroup26973 2 2
supergroup26975 3 3
supergroup26976 2 2
supergroup26977 13 13
supergroup26978 2 2
supergroup26979 4 4
supergroup26980 2 2
supergroup26981 6 6
supergroup26982 4 4
supergroup26983 2 2
supergroup26984 2 2
supergroup26985 2 2
supergroup26986 4 4
supergroup26987 2 2
supergroup26988 3 3
supergroup26989 32 29
supergroup26990 2 2
supergroup26991 7 7
supergroup26992 2 2
supergroup26993 2 2
supergroup26994 2 2
supergroup26996 2 2
supergroup26997 3 3
supergroup26998 13 13
supergroup26999 2 2
supergroup27000 2 2
supergroup27001 2 2
supergroup27002 2 2
supergroup27003 2 2
supergroup27004 2 2
supergroup27006 5 5
supergroup27007 2 2
supergroup27008 3 3
supergroup27009 2 2
supergroup27010 4 4
supergroup27011 5 5
supergroup27013 2 2
supergroup27014 19 18
supergroup27015 4 4
supergroup27016 3 3
supergroup27017 2 2
supergroup27018 2 2
supergroup27019 3 3
supergroup27020 3 3
supergroup27022 2 2
supergroup27023 20 19
supergroup27024 4 4
supergroup27025 3 3
supergroup27026 2 2
supergroup27027 22 22
supergroup27028 2 2
supergroup27029 5 5
supergroup27030 12 12
supergroup27031 6 6
supergroup27033 6 5
supergroup27034 2 2
supergroup27035 2 2
supergroup27036 2 2
supergroup27037 8 8
supergroup27038 2 2
supergroup27039 8 8
supergroup27041 2 2
supergroup27042 6 6
supergroup27043 2 2
supergroup27045 5 5
supergroup27046 5 5
supergroup27047 2 2
supergroup27048 2 2
supergroup27049 2 2
supergroup27050 3 3
supergroup27051 2 2
supergroup27052 9 9
supergroup27053 2 2
supergroup27054 2 2
supergroup27056 2 2
supergroup27057 2 2
supergroup27058 4 4
supergroup27059 2 2
supergroup27060 2 2
supergroup27061 3 3
supergroup27063 3 3
supergroup27064 2 2
supergroup27065 3 3
supergroup27066 4 4
supergroup27067 3 3
supergroup27068 9 8
supergroup27069 8 7
supergroup27070 4 4
supergroup27072 2 2
supergroup27073 2 2
supergroup27074 4 4
supergroup27075 20 19
supergroup27076 2 2
supergroup27077 4 4
supergroup27078 2 2
supergroup27079 4 4
supergroup27080 5 5
supergroup27081 2 2
supergroup27082 3 3
supergroup27083 2 2
supergroup27084 2 2
supergroup27085 2 2
supergroup27086 4 4
supergroup27087 2 2
supergroup27088 2 2
supergroup27090 4 4
supergroup27091 2 2
supergroup27093 4 4
supergroup27094 3 3
supergroup27095 8 8
supergroup27096 2 2
supergroup27097 2 2
supergroup27098 2 2
supergroup27099 3 3
supergroup27101 2 2
supergroup27102 2 2
supergroup27103 6 6
supergroup27104 3 3
supergroup27105 2 2
supergroup27106 2 2
supergroup27107 5 5
supergroup27108 2 2
supergroup27109 3 3
supergroup27110 2 2
supergroup27111 2 2
supergroup27112 3 3
supergroup27113 4 4
supergroup27114 7 7
supergroup27115 3 3
supergroup27116 3 3
supergroup27117 16 16
supergroup27118 2 2
supergroup27120 16 15
supergroup27121 2 2
supergroup27122 2 2
supergroup27123 3 3
supergroup27124 3 3
supergroup27125 21 21
supergroup27126 7 7
supergroup27128 20 20
supergroup27129 13 12
supergroup27130 2 2
supergroup27131 2 2
supergroup27132 5 5
supergroup27133 3 3
supergroup27134 4 4
supergroup27135 2 2
supergroup27136 31 31
supergroup27138 2 2
supergroup27139 3 3
supergroup27140 2 2
supergroup27141 3 3
supergroup27142 3 3
supergroup27143 2 2
supergroup27144 3 3
supergroup27145 6 6
supergroup27146 4 4
supergroup27147 2 2
supergroup27148 5 5
supergroup27149 14 14
supergroup27150 2 2
supergroup27151 2 2
supergroup27152 2 2
supergroup27153 2 2
supergroup27154 2 2
supergroup27155 2 2
supergroup27156 4 4
supergroup27157 3 3
supergroup27158 2 2
supergroup27159 3 3
supergroup27160 2 2
supergroup27161 2 2
supergroup27162 2 2
supergroup27163 5 5
supergroup27164 18 18
supergroup27165 4 4
supergroup27166 2 2
supergroup27167 2 2
supergroup27168 4 4
supergroup27169 3 3
supergroup27170 5 5
supergroup27171 2 2
supergroup27172 2 2
supergroup27173 2 2
supergroup27174 2 2
supergroup27175 2 2
supergroup27176 2 2
supergroup27177 2 2
supergroup27178 5 5
supergroup27179 2 2
supergroup27180 7 7
supergroup27181 9 8
supergroup27182 2 2
supergroup27183 2 2
supergroup27184 3 3
supergroup27185 2 2
supergroup27186 3 3
supergroup27187 3 3
supergroup27188 3 3
supergroup27189 21 20
supergroup27190 10 10
supergroup27191 4 4
supergroup27192 2 2
supergroup27193 5 5
supergroup27194 2 2
supergroup27195 3 3
supergroup27196 17 16
supergroup27197 3 3
supergroup27198 4 4
supergroup27199 2 2
supergroup27200 2 2
supergroup27202 3 3
supergroup27203 2 2
supergroup27204 3 3
supergroup27205 2 2
supergroup27206 3 3
supergroup27207 2 2
supergroup27208 2 2
supergroup27209 11 11
supergroup27210 2 2
supergroup27211 2 2
supergroup27212 2 2
supergroup27213 2 2
supergroup27214 2 2
supergroup27215 3 3
supergroup27216 2 2
supergroup27217 2 2
supergroup27218 3 3
supergroup27219 3 3
supergroup27220 5 5
supergroup27221 2 2
supergroup27222 6 6
supergroup27223 4 4
supergroup27224 3 3
supergroup27225 2 2
supergroup27226 2 2
supergroup27227 3 3
supergroup27228 6 6
supergroup27229 13 8
supergroup27230 4 4
supergroup27231 2 2
supergroup27232 6 6
supergroup27233 2 2
supergroup27234 3 3
supergroup27235 2 2
supergroup27236 2 2
supergroup27237 2 2
supergroup27238 5 5
supergroup27239 4 4
supergroup27240 2 2
supergroup27241 2 2
supergroup27242 2 2
supergroup27243 2 2
supergroup27244 2 2
supergroup27245 3 3
supergroup27246 2 2
supergroup27247 2 2
supergroup27248 8 8
supergroup27249 2 2
supergroup27250 2 2
supergroup27251 2 2
supergroup27252 2 2
supergroup27253 2 2
supergroup27254 2 2
supergroup27255 2 2
supergroup27256 2 2
supergroup27257 2 2
supergroup27258 3 3
supergroup27259 2 2
supergroup27260 2 2
supergroup27261 2 2
supergroup27262 2 2
supergroup27263 2 2
supergroup27264 2 2
supergroup27265 2 2
supergroup27266 2 2
supergroup27267 2 2
supergroup27268 2 2
supergroup27269 2 2
supergroup27270 2 2
supergroup27271 2 2
supergroup27272 4 4
supergroup27273 2 2
supergroup27274 4 4
supergroup27275 5 5
supergroup27276 4 4
supergroup27277 2 2
supergroup27278 2 2
supergroup27279 2 2
supergroup27280 2 2
supergroup27281 2 2
supergroup27282 4 4
supergroup27283 2 2
supergroup27284 2 2
supergroup27285 2 2
supergroup27286 2 2
supergroup27287 2 2
supergroup27288 2 2
supergroup27289 3 3
supergroup27290 8 8
supergroup27291 4 4
supergroup27292 2 2
supergroup27293 3 3
supergroup27294 3 3
supergroup27295 2 2
supergroup27296 2 2
supergroup27297 2 2
supergroup27298 5 5
supergroup27299 7 7
supergroup27300 2 2
supergroup27301 2 2
supergroup27302 2 2
supergroup27303 2 2
supergroup27304 2 2
supergroup27305 2 2
supergroup27306 2 2
supergroup27307 2 2
supergroup27308 2 2
supergroup27309 18 16
supergroup27310 2 2
supergroup27311 2 2
supergroup27312 3 3
supergroup27313 2 2
supergroup27314 2 2
supergroup27315 2 2
supergroup27316 4 4
supergroup27317 3 3
supergroup27318 2 2
supergroup27319 2 2
supergroup27320 2 2
supergroup27321 2 2
supergroup27322 2 2
supergroup27323 2 2
supergroup27324 3 3
supergroup27326 2 2
supergroup27327 3 3
supergroup27328 5 5
supergroup27329 7 7
supergroup27330 14 14
supergroup27331 2 2
supergroup27332 4 4
supergroup27333 2 2
supergroup27334 2 2
supergroup27335 2 2
supergroup27336 2 2
supergroup27337 2 2
supergroup27338 3 3
supergroup27339 3 3
supergroup27340 4 4
supergroup27341 2 2
supergroup27342 3 3
supergroup27343 2 2
supergroup27344 2 2
supergroup27345 3 3
supergroup27346 2 2
supergroup27348 3 3
supergroup27349 2 2
supergroup27350 2 2
supergroup27351 5 5
supergroup27352 2 2
supergroup27353 2 2
supergroup27354 5 5
supergroup27355 4 4
supergroup27356 2 2
supergroup27357 2 2
supergroup27358 2 2
supergroup27359 2 2
supergroup27360 2 2
supergroup27361 3 3
supergroup27362 4 4
supergroup27363 2 2
supergroup27364 5 5
supergroup27366 3 3
supergroup27367 2 2
supergroup27369 2 2
supergroup27370 4 4
supergroup27371 2 2
supergroup27372 2 2
supergroup27373 8 8
supergroup27374 3 3
supergroup27375 4 4
supergroup27376 3 3
supergroup27377 3 3
supergroup27378 2 2
supergroup27379 2 2
supergroup27380 2 2
supergroup27381 2 2
supergroup27382 4 4
supergroup27383 3 3
supergroup27384 2 2
supergroup27385 2 2
supergroup27386 2 2
supergroup27388 2 2
supergroup27389 2 2
supergroup27390 2 2
supergroup27391 2 2
supergroup27392 9 6
supergroup27393 2 2
supergroup27394 2 2
supergroup27395 2 2
supergroup27396 2 2
supergroup27397 2 2
supergroup27398 2 2
supergroup27399 2 2
supergroup27400 3 3
supergroup27401 2 2
supergroup27402 4 4
supergroup27403 2 2
supergroup27404 2 2
supergroup27405 2 2
supergroup27406 2 2
supergroup27407 2 2
supergroup27408 2 2
supergroup27409 6 5
supergroup27410 2 2
supergroup27411 4 4
supergroup27412 2 2
supergroup27413 2 2
supergroup27414 2 2
supergroup27415 2 2
supergroup27416 4 4
supergroup27417 2 2
supergroup27418 2 2
supergroup27419 2 2
supergroup27420 3 3
supergroup27421 2 2
supergroup27422 2 2
supergroup27423 2 2
supergroup27424 2 2
supergroup27425 2 2
supergroup27426 2 2
supergroup27427 2 2
supergroup27428 2 2
supergroup27429 8 8
supergroup27430 2 2
supergroup27431 2 2
supergroup27432 2 2
supergroup27433 2 2
supergroup27434 4 4
supergroup27435 2 2
supergroup27436 2 2
supergroup27437 3 3
supergroup27438 2 2
supergroup27439 3 3
supergroup27440 2 2
supergroup27441 2 2
supergroup27442 2 2
supergroup27443 4 4
supergroup27444 2 2
supergroup27446 3 3
supergroup27447 2 2
supergroup27448 2 2
supergroup27450 2 2
supergroup27451 2 2
supergroup27452 4 4
supergroup27453 2 2
supergroup27454 2 2
supergroup27455 3 3
supergroup27456 2 2
supergroup27457 2 2
supergroup27458 2 2
supergroup27459 2 2
supergroup27460 2 2
supergroup27461 2 2
supergroup27462 4 3
supergroup27463 2 2
supergroup27464 2 2
supergroup27465 2 2
supergroup27466 2 2
supergroup27467 2 2
supergroup27468 3 3
supergroup27469 2 2
supergroup27470 2 2
supergroup27471 2 2
supergroup27472 2 2
supergroup27473 4 4
supergroup27474 2 2
supergroup27475 2 2
supergroup27476 2 2
supergroup27477 2 2
supergroup27478 3 3
supergroup27479 5 5
supergroup27480 2 2
supergroup27481 2 2
supergroup27482 3 3
supergroup27483 9 8
supergroup27484 2 2
supergroup27485 2 2
supergroup27486 2 2
supergroup27488 2 2
supergroup27489 2 2
supergroup27490 2 2
supergroup27491 2 2
supergroup27492 2 2
supergroup27493 2 2
supergroup27494 2 2
supergroup27495 2 2
supergroup27496 2 2
supergroup27497 2 2
supergroup27498 2 2
supergroup27499 2 2
supergroup27500 11 10
supergroup27501 10 10
supergroup27502 2 2
supergroup27503 2 2
supergroup27504 8 7
supergroup27505 2 2
supergroup27506 2 2
supergroup27507 5 5
supergroup27508 2 2
supergroup27509 2 2
supergroup27510 3 3
supergroup27511 2 2
supergroup27512 10 10
supergroup27513 2 2
supergroup27514 3 3
supergroup27515 2 2
supergroup27516 2 2
supergroup27517 17 16
supergroup27518 2 2
supergroup27519 2 2
supergroup27520 2 2
supergroup27521 2 2
supergroup27522 2 2
supergroup27523 2 2
supergroup27524 2 2
supergroup27525 2 2
supergroup27526 2 2
supergroup27527 2 2
supergroup27528 2 2
supergroup27529 2 2
supergroup27530 11 11
supergroup27531 2 2
supergroup27533 2 2
supergroup27534 2 2
supergroup27535 2 2
supergroup27536 2 2
supergroup27537 2 2
supergroup27538 2 2
supergroup27539 3 3
supergroup27540 2 2
supergroup27541 2 2
supergroup27542 2 2
supergroup27543 2 2
supergroup27544 2 2
supergroup27545 2 2
supergroup27546 2 2
supergroup27547 5 5
supergroup27548 3 3
supergroup27549 2 2
supergroup27550 2 2
supergroup27551 2 2
supergroup27552 5 5
supergroup27553 2 2
supergroup27554 2 2
supergroup27555 2 2
supergroup27556 2 2
supergroup27557 2 2
supergroup27558 2 2
supergroup27559 3 3
supergroup27560 2 2
supergroup27561 2 2
supergroup27562 3 3
supergroup27563 3 3
supergroup27564 2 2
supergroup27565 6 6
supergroup27566 2 2
supergroup27567 2 2
supergroup27568 2 2
supergroup27569 3 3
supergroup27570 2 2
supergroup27571 2 2
supergroup27572 2 2
supergroup27573 2 2
supergroup27574 2 2
supergroup27575 2 2
supergroup27576 2 2
supergroup27577 2 2
supergroup27578 2 2
supergroup27579 2 2
supergroup27580 2 2
supergroup27581 2 2
supergroup27582 4 4
supergroup27583 2 2
supergroup27584 2 2
supergroup27585 2 2
supergroup27586 2 2
supergroup27587 2 2
supergroup27588 2 2
supergroup27589 2 2
supergroup27590 2 2
supergroup27591 2 2
supergroup27592 2 2
supergroup27593 12 12
supergroup27594 2 2
supergroup27595 2 2
supergroup27596 2 2
supergroup27597 2 2
supergroup27598 2 2
supergroup27599 3 3
supergroup27600 3 3
supergroup27601 2 2
supergroup27602 2 2
supergroup27603 2 2
supergroup27604 19 19
supergroup27605 2 2
supergroup27606 2 2
supergroup27607 2 2
supergroup27608 2 2
supergroup27609 16 16
supergroup27610 2 2
supergroup27611 2 2
supergroup27612 3 3
supergroup27613 2 2
supergroup27614 2 2
supergroup27615 3 3
supergroup27616 2 2
supergroup27617 2 2
supergroup27618 2 2
supergroup27619 2 2
supergroup27622 3 3
supergroup27623 2 2
supergroup27624 2 2
supergroup27625 2 2
supergroup27626 4 4
supergroup27627 2 2
supergroup27628 2 2
supergroup27629 2 2
supergroup27630 2 2
supergroup27631 2 2
supergroup27632 2 2
supergroup27634 2 2
supergroup27635 2 2
supergroup27636 2 2
supergroup27637 13 12
supergroup27638 2 2
supergroup27639 2 2
supergroup27640 2 2
supergroup27641 2 2
supergroup27642 2 2
supergroup27643 2 2
supergroup27644 9 9
supergroup27645 2 2
supergroup27646 2 2
supergroup27647 2 2
supergroup27648 2 2
supergroup27649 2 2
supergroup27650 2 2
supergroup27651 2 2
supergroup27652 6 6
supergroup27653 2 2
supergroup27654 2 2
supergroup27655 2 2
supergroup27656 2 2
supergroup27657 3 3
supergroup27658 3 3
supergroup27659 5 4
supergroup27660 2 2
supergroup27661 2 2
supergroup27662 4 4
supergroup27663 2 2
supergroup27664 2 2
supergroup27665 3 3
supergroup27666 5 5
supergroup27667 2 2
supergroup27668 3 3
supergroup27669 3 3
supergroup27670 2 2
supergroup27671 2 2
supergroup27672 2 2
supergroup27673 2 2
supergroup27674 2 2
supergroup27675 2 2
supergroup27676 2 2
supergroup27677 2 2
supergroup27678 2 2
supergroup27679 2 2
supergroup27680 2 2
supergroup27681 2 2
supergroup27682 2 2
supergroup27683 17 17
supergroup27684 2 2
supergroup27685 2 2
supergroup27686 13 13
supergroup27687 2 2
supergroup27688 2 2
supergroup27689 2 2
supergroup27690 2 2
supergroup27691 4 4
supergroup27692 2 2
supergroup27693 2 2
supergroup27694 2 2
supergroup27695 2 2
supergroup27696 4 4
supergroup27697 4 4
supergroup27698 8 8
supergroup27699 11 11
supergroup27700 2 2
supergroup27701 2 2
supergroup27703 2 2
supergroup27704 3 3
supergroup27705 2 2
supergroup27706 2 2
supergroup27707 2 2
supergroup27708 2 2
supergroup27709 3 3
supergroup27710 2 2
supergroup27711 2 2
supergroup27712 2 2
supergroup27713 4 4
supergroup27714 2 2
supergroup27715 2 2
supergroup27716 2 2
supergroup27717 2 2
supergroup27718 2 2
supergroup27719 2 2
supergroup27720 2 2
supergroup27721 2 2
supergroup27722 2 2
supergroup27723 2 2
supergroup27724 2 2
supergroup27725 2 2
supergroup27726 2 2
supergroup27727 5 5
supergroup27728 23 23
supergroup27729 2 2
supergroup27730 2 2
supergroup27731 2 2
supergroup27732 2 2
supergroup27733 2 2
supergroup27734 2 2
supergroup27735 2 2
supergroup27736 2 2
supergroup27737 2 2
supergroup27738 2 2
supergroup27739 2 2
supergroup27740 2 2
supergroup27741 15 14
supergroup27742 5 5
supergroup27743 2 2
supergroup27744 2 2
supergroup27745 2 2
supergroup27746 2 2
supergroup27747 2 2
supergroup27749 2 2
supergroup27750 5 5
supergroup27751 4 4
supergroup27752 4 4
supergroup27753 3 3
supergroup27754 2 2
seqsPerLocus samplesPerLocus
supergroup27756 2 2
supergroup27757 2 2
supergroup27758 2 2
supergroup27759 4 4
supergroup27760 2 2
supergroup27761 16 16
supergroup27762 2 2
supergroup27764 2 2
supergroup27765 3 3
supergroup27766 2 2
supergroup27767 3 3
supergroup27768 19 18
supergroup27769 2 2
supergroup27770 2 2
supergroup27771 5 5
supergroup27772 6 6
supergroup27773 2 2
supergroup27774 2 2
supergroup27776 5 5
supergroup27777 2 2
supergroup27778 5 4
supergroup27779 4 4
supergroup27780 2 2
supergroup27781 3 3
supergroup27782 2 2
supergroup27783 5 5
supergroup27784 2 2
supergroup27785 3 3
supergroup27786 4 4
supergroup27787 3 3
supergroup27788 4 4
supergroup27789 2 2
supergroup27790 2 2
supergroup27791 3 3
supergroup27792 3 3
supergroup27793 4 4
supergroup27794 33 33
supergroup27796 6 6
supergroup27797 2 2
supergroup27798 2 2
supergroup27799 3 3
supergroup27800 3 3
supergroup27802 2 2
supergroup27803 2 2
supergroup27804 2 2
supergroup27806 2 2
supergroup27807 2 2
supergroup27808 2 2
supergroup27809 2 2
supergroup27810 5 5
supergroup27812 2 2
supergroup27813 2 2
supergroup27814 2 2
supergroup27815 2 2
supergroup27816 2 2
supergroup27817 3 3
supergroup27818 3 3
supergroup27819 2 2
supergroup27820 17 17
supergroup27821 2 2
supergroup27822 2 2
supergroup27823 2 2
supergroup27824 3 3
supergroup27825 2 2
supergroup27826 4 4
supergroup27827 2 2
supergroup27828 23 21
supergroup27829 3 3
supergroup27830 2 2
supergroup27831 2 2
supergroup27832 4 4
supergroup27833 3 3
supergroup27834 6 6
supergroup27835 3 3
supergroup27836 2 2
supergroup27837 2 2
supergroup27838 10 10
supergroup27839 2 2
supergroup27840 3 3
supergroup27841 3 3
supergroup27842 3 3
supergroup27843 12 12
supergroup27844 6 6
supergroup27845 2 2
supergroup27846 2 2
supergroup27847 4 4
supergroup27848 2 2
supergroup27849 29 29
supergroup27851 2 2
supergroup27852 2 2
supergroup27853 5 5
supergroup27854 2 2
supergroup27856 3 3
supergroup27857 16 16
supergroup27858 6 6
supergroup27859 2 2
supergroup27860 3 3
supergroup27861 4 4
supergroup27862 5 5
supergroup27863 3 3
supergroup27864 3 3
supergroup27865 3 3
supergroup27866 3 3
supergroup27867 4 4
supergroup27868 2 2
supergroup27869 2 2
supergroup27870 8 8
supergroup27871 2 2
supergroup27872 4 4
supergroup27874 6 6
supergroup27875 3 3
supergroup27876 3 3
supergroup27877 4 4
supergroup27878 9 9
supergroup27880 2 2
supergroup27881 4 4
supergroup27882 3 3
supergroup27883 3 3
supergroup27884 2 2
supergroup27885 5 5
supergroup27886 2 2
supergroup27887 3 3
supergroup27888 5 5
supergroup27889 2 2
supergroup27890 2 2
supergroup27891 8 8
supergroup27892 7 7
supergroup27893 2 2
supergroup27894 2 2
supergroup27895 2 2
supergroup27896 8 8
supergroup27897 3 3
supergroup27898 3 3
supergroup27899 2 2
supergroup27900 3 3
supergroup27901 3 3
supergroup27902 3 3
supergroup27903 7 7
supergroup27904 3 3
supergroup27905 2 2
supergroup27906 3 3
supergroup27907 2 2
supergroup27909 2 2
supergroup27910 3 3
supergroup27911 5 5
supergroup27912 8 8
supergroup27913 9 9
supergroup27914 3 3
supergroup27915 4 4
supergroup27916 2 2
supergroup27917 5 5
supergroup27918 2 2
supergroup27919 4 4
supergroup27920 11 11
supergroup27921 3 3
supergroup27922 4 4
supergroup27923 2 2
supergroup27924 4 4
supergroup27925 6 6
supergroup27926 5 5
supergroup27927 3 3
supergroup27929 9 9
supergroup27930 3 3
supergroup27931 3 3
supergroup27932 5 4
supergroup27933 2 2
supergroup27934 3 3
supergroup27935 4 4
supergroup27937 3 3
supergroup27938 10 10
supergroup27940 3 3
supergroup27942 3 3
supergroup27943 4 4
supergroup27944 5 5
supergroup27945 6 5
supergroup27946 4 4
supergroup27947 4 4
supergroup27948 3 3
supergroup27949 4 4
supergroup27950 11 11
supergroup27951 4 4
supergroup27952 13 13
supergroup27953 3 3
supergroup27954 2 2
supergroup27955 4 4
supergroup27956 5 5
supergroup27957 4 4
supergroup27958 3 3
supergroup27959 4 4
supergroup27960 3 3
supergroup27961 2 2
supergroup27962 4 4
supergroup27963 8 8
supergroup27964 16 16
supergroup27965 2 2
supergroup27966 7 7
supergroup27967 2 2
supergroup27968 2 2
supergroup27969 2 2
supergroup27970 4 4
supergroup27971 5 5
supergroup27972 2 2
supergroup27973 2 2
supergroup27974 3 3
supergroup27975 2 2
supergroup27976 2 2
supergroup27977 4 4
supergroup27978 3 3
supergroup27979 3 3
supergroup27980 2 2
supergroup27981 3 3
supergroup27982 3 3
supergroup27983 7 7
supergroup27984 2 2
supergroup27985 2 2
supergroup27986 2 2
supergroup27987 2 2
supergroup27988 2 2
supergroup27989 2 2
supergroup27990 7 7
supergroup27991 7 7
supergroup27992 2 2
supergroup27993 2 2
supergroup27994 2 2
supergroup27995 4 4
supergroup27996 4 4
supergroup27997 21 19
supergroup27998 2 2
supergroup27999 2 2
supergroup28000 2 2
supergroup28001 4 4
supergroup28002 2 2
supergroup28003 2 2
supergroup28004 3 3
supergroup28005 2 2
supergroup28006 12 8
supergroup28007 4 4
supergroup28008 5 5
supergroup28009 3 3
supergroup28010 4 4
supergroup28011 4 4
supergroup28012 9 9
supergroup28013 4 4
supergroup28014 2 2
supergroup28015 2 2
supergroup28016 2 2
supergroup28017 7 7
supergroup28018 5 5
supergroup28019 2 2
supergroup28020 2 2
supergroup28021 46 18
supergroup28022 3 3
supergroup28023 4 4
supergroup28024 2 2
supergroup28025 4 4
supergroup28026 3 3
supergroup28027 2 2
supergroup28028 17 16
supergroup28029 2 2
supergroup28030 2 2
supergroup28031 11 11
supergroup28032 5 4
supergroup28033 4 4
supergroup28034 3 3
supergroup28035 8 5
supergroup28036 5 5
supergroup28037 2 2
supergroup28038 4 4
supergroup28039 3 3
supergroup28040 4 4
supergroup28041 4 4
supergroup28042 7 6
supergroup28043 10 10
supergroup28044 2 2
supergroup28045 4 4
supergroup28046 13 13
supergroup28047 2 2
supergroup28048 3 3
supergroup28049 2 2
supergroup28050 6 6
supergroup28051 4 4
supergroup28052 4 4
supergroup28053 2 2
supergroup28054 2 2
supergroup28055 2 2
supergroup28056 2 2
supergroup28057 2 2
supergroup28058 5 5
supergroup28059 7 7
supergroup28060 2 2
supergroup28061 2 2
supergroup28062 7 7
supergroup28064 4 4
supergroup28065 2 2
supergroup28066 3 3
supergroup28068 3 3
supergroup28069 3 3
supergroup28070 3 3
supergroup28071 2 2
supergroup28073 6 6
supergroup28074 2 2
supergroup28075 3 3
supergroup28076 5 5
supergroup28077 3 3
supergroup28078 8 8
supergroup28079 4 4
supergroup28080 10 10
supergroup28081 2 2
supergroup28082 2 2
supergroup28083 3 3
supergroup28086 3 3
supergroup28087 7 7
supergroup28088 3 3
supergroup28089 3 3
supergroup28090 7 7
supergroup28091 27 23
supergroup28093 3 3
supergroup28094 7 7
supergroup28095 7 7
supergroup28096 3 3
supergroup28098 3 3
supergroup28099 2 2
supergroup28100 3 3
supergroup28101 3 3
supergroup28104 4 4
supergroup28105 6 6
supergroup28106 5 5
supergroup28107 7 7
supergroup28109 2 2
supergroup28110 3 3
supergroup28111 2 2
supergroup28112 2 2
supergroup28113 11 11
supergroup28114 4 4
supergroup28115 3 3
supergroup28116 6 6
supergroup28117 3 3
supergroup28118 2 2
supergroup28119 2 2
supergroup28120 3 3
supergroup28121 2 2
supergroup28122 3 3
supergroup28123 2 2
supergroup28124 3 3
supergroup28125 3 3
supergroup28126 9 8
supergroup28127 2 2
supergroup28129 3 3
supergroup28130 10 9
supergroup28131 4 4
supergroup28132 2 2
supergroup28133 2 2
supergroup28134 2 2
supergroup28136 5 5
supergroup28137 7 7
supergroup28139 5 5
supergroup28140 3 3
supergroup28141 4 4
supergroup28142 2 2
supergroup28143 8 8
supergroup28144 10 10
supergroup28146 2 2
supergroup28147 6 5
supergroup28148 2 2
supergroup28149 2 2
supergroup28150 3 3
supergroup28151 2 2
supergroup28153 2 2
supergroup28154 5 5
supergroup28155 7 7
supergroup28156 4 4
supergroup28157 3 3
supergroup28158 2 2
supergroup28159 4 4
supergroup28160 6 6
supergroup28161 3 3
supergroup28163 2 2
supergroup28164 2 2
supergroup28165 13 13
supergroup28166 10 10
supergroup28167 2 2
supergroup28168 3 3
supergroup28170 3 3
supergroup28171 3 3
supergroup28172 3 3
supergroup28173 3 3
supergroup28175 6 5
supergroup28176 7 7
supergroup28177 3 3
supergroup28178 4 4
supergroup28179 5 5
supergroup28180 30 30
supergroup28181 5 5
supergroup28183 5 5
supergroup28184 2 2
supergroup28185 8 8
supergroup28186 2 2
supergroup28187 4 4
supergroup28188 15 14
supergroup28189 14 14
supergroup28190 2 2
supergroup28191 3 3
supergroup28192 2 2
supergroup28193 20 20
supergroup28194 2 2
supergroup28195 3 3
supergroup28196 2 2
supergroup28197 7 7
supergroup28198 3 3
supergroup28199 4 4
supergroup28200 2 2
supergroup28201 3 3
supergroup28202 8 8
supergroup28203 13 13
supergroup28204 5 4
supergroup28205 2 2
supergroup28206 11 11
supergroup28207 4 4
supergroup28208 4 4
