seqsPerLocus samplesPerLocus
supergroup842 10 10
supergroup843 27 27
supergroup844 19 19
supergroup845 28 28
supergroup846 21 21
supergroup847 106 56
supergroup848 16 16
supergroup849 49 49
supergroup850 35 34
supergroup851 34 34
supergroup852 31 30
supergroup853 35 35
supergroup854 85 59
supergroup855 67 34
supergroup856 70 35
supergroup857 85 33
supergroup858 28 28
supergroup859 30 30
supergroup860 58 56
supergroup861 31 31
supergroup862 15 15
supergroup863 78 32
supergroup864 19 18
supergroup865 30 29
supergroup866 47 47
supergroup867 33 32
supergroup868 33 33
supergroup869 26 22
supergroup870 32 32
supergroup871 135 32
supergroup872 49 33
supergroup873 32 32
supergroup874 35 35
supergroup875 23 23
supergroup876 30 30
supergroup877 21 21
supergroup878 37 30
supergroup879 40 30
supergroup880 34 33
supergroup881 46 32
supergroup882 27 27
supergroup883 48 32
supergroup884 48 29
supergroup885 36 36
supergroup886 34 34
supergroup887 84 33
supergroup888 44 40
supergroup889 66 44
supergroup890 62 59
supergroup891 59 35
supergroup892 52 34
supergroup893 21 21
supergroup894 35 27
supergroup895 74 43
supergroup896 30 30
supergroup897 39 37
supergroup898 72 44
supergroup899 27 27
supergroup900 126 35
supergroup901 27 27
supergroup902 36 31
supergroup903 38 31
supergroup904 68 33
supergroup905 78 57
supergroup906 36 25
supergroup907 32 32
supergroup908 3 3
supergroup909 24 24
supergroup910 26 26
supergroup911 31 31
supergroup912 29 29
supergroup913 8 8
supergroup914 32 30
supergroup915 36 35
supergroup916 11 11
supergroup917 3 3
supergroup918 26 26
supergroup919 27 27
supergroup920 48 46
supergroup921 35 35
supergroup922 33 33
supergroup923 34 33
supergroup924 55 55
supergroup925 32 32
supergroup926 33 33
supergroup927 31 31
supergroup928 53 47
supergroup929 45 44
supergroup930 31 31
supergroup931 33 33
supergroup932 31 31
supergroup933 29 29
supergroup934 75 34
supergroup935 31 31
supergroup936 30 30
supergroup937 57 56
supergroup938 34 29
supergroup939 31 31
supergroup940 44 44
supergroup941 57 55
supergroup942 46 46
supergroup943 3 3
supergroup944 26 26
supergroup945 43 30
supergroup946 25 24
supergroup947 25 22
supergroup948 69 33
supergroup949 33 29
supergroup950 34 34
supergroup951 32 32
supergroup952 60 44
supergroup953 33 32
supergroup954 58 58
supergroup955 11 11
supergroup956 33 33
supergroup957 50 33
supergroup958 53 52
supergroup959 36 29
supergroup960 24 24
supergroup961 65 62
supergroup962 82 32
supergroup964 35 29
supergroup965 57 56
supergroup966 52 52
supergroup967 35 33
supergroup968 21 21
supergroup969 43 32
supergroup970 53 34
supergroup971 9 9
supergroup972 48 47
supergroup973 34 30
supergroup974 17 17
supergroup975 53 34
supergroup976 26 26
supergroup977 67 34
supergroup978 16 16
supergroup979 32 32
supergroup980 11 11
supergroup981 8 8
supergroup982 41 41
supergroup983 50 31
supergroup984 39 38
supergroup985 32 32
supergroup986 43 32
supergroup987 33 33
supergroup988 49 32
supergroup989 50 41
supergroup990 36 36
supergroup991 21 21
supergroup992 35 35
supergroup994 54 30
supergroup995 33 28
supergroup996 26 25
supergroup997 35 30
supergroup998 47 47
supergroup999 35 34
supergroup1000 29 23
supergroup1001 24 24
supergroup1002 15 15
supergroup1003 22 22
supergroup1004 25 25
supergroup1007 20 20
supergroup1008 15 15
seqsPerLocus samplesPerLocus
supergroup1010 23 23
supergroup1011 16 16
supergroup1014 29 29
supergroup1015 18 18
supergroup1017 21 21
supergroup1018 31 31
supergroup1020 16 16
supergroup1021 21 19
supergroup1022 23 23
supergroup1023 39 27
supergroup1025 10 10
supergroup1026 9 9
supergroup1029 10 10
supergroup1031 15 15
supergroup1032 34 34
supergroup1033 19 19
supergroup1034 16 16
supergroup1036 25 25
supergroup1037 13 13
supergroup1038 9 9
supergroup1039 9 9
supergroup1042 14 14
supergroup1043 2 2
supergroup1044 5 5
supergroup1045 23 17
supergroup1046 17 17
supergroup1047 60 60
supergroup1048 19 19
supergroup1049 26 25
supergroup1050 47 47
supergroup1051 23 23
supergroup1052 4 4
supergroup1053 9 9
supergroup1054 23 21
supergroup1056 17 17
supergroup1057 14 14
supergroup1058 20 20
supergroup1059 4 4
supergroup1060 24 24
supergroup1061 12 12
supergroup1062 54 41
supergroup1063 21 21
supergroup1064 47 46
supergroup1065 100 59
supergroup1066 53 45
supergroup1067 18 18
supergroup1068 20 20
supergroup1069 13 13
supergroup1070 34 34
supergroup1071 53 52
supergroup1072 50 50
supergroup1073 28 26
supergroup1074 18 15
supergroup1075 61 47
supergroup1076 32 32
supergroup1077 46 45
supergroup1078 56 45
supergroup1079 59 34
supergroup1080 5 5
supergroup1081 10 6
supergroup1082 25 25
supergroup1083 33 31
supergroup1084 32 31
supergroup1085 26 26
supergroup1086 58 46
supergroup1087 36 29
supergroup1088 31 30
supergroup1089 29 29
supergroup1090 5 5
supergroup1091 47 24
supergroup1092 6 6
supergroup1093 32 30
supergroup1094 48 28
supergroup1095 42 40
supergroup1096 20 15
supergroup1097 57 56
supergroup1098 4 4
supergroup1099 49 48
supergroup1100 13 12
supergroup1101 27 26
supergroup1102 5 5
supergroup1103 4 4
supergroup1104 20 20
supergroup1105 4 4
supergroup1106 3 3
supergroup1107 21 21
supergroup1108 26 26
supergroup1109 42 34
supergroup1110 13 13
supergroup1111 6 6
supergroup1112 106 31
supergroup1113 10 9
supergroup1114 25 22
supergroup1115 22 22
